Description:	blocked 2 dgemm.

Size: 31	Gflop/s: 11.1 (32768 iter, 0.175 seconds)
Size: 32	Gflop/s: 43.6 (131072 iter, 0.197 seconds)
Size: 33	Gflop/s: 26.6 (65536 iter, 0.177 seconds)
Size: 63	Gflop/s: 18.4 (4096 iter, 0.111 seconds)
Size: 64	Gflop/s: 31.4 (8192 iter, 0.137 seconds)
Size: 65	Gflop/s: 30.8 (8192 iter, 0.146 seconds)
Size: 95	Gflop/s: 22.7 (2048 iter, 0.155 seconds)
Size: 96	Gflop/s: 38.5 (4096 iter, 0.188 seconds)
Size: 97	Gflop/s: 35.7 (2048 iter, 0.105 seconds)
Size: 127	Gflop/s: 19.5 (512 iter, 0.107 seconds)
Size: 128	Gflop/s: 17.8 (512 iter, 0.121 seconds)
Size: 129	Gflop/s: 23.2 (1024 iter, 0.189 seconds)
Size: 159	Gflop/s: 27.8 (512 iter, 0.148 seconds)
Size: 160	Gflop/s: 35.3 (512 iter, 0.119 seconds)
Size: 161	Gflop/s: 37.9 (512 iter, 0.113 seconds)
Size: 191	Gflop/s: 29.5 (256 iter, 0.121 seconds)
Size: 192	Gflop/s: 27.9 (256 iter, 0.130 seconds)
Size: 193	Gflop/s: 35.4 (256 iter, 0.104 seconds)
Size: 223	Gflop/s: 30.4 (256 iter, 0.187 seconds)
Size: 224	Gflop/s: 35.7 (256 iter, 0.161 seconds)
Size: 225	Gflop/s: 37.8 (256 iter, 0.154 seconds)
Size: 255	Gflop/s: 18.1 (64 iter, 0.117 seconds)
Size: 256	Gflop/s: 17.3 (64 iter, 0.124 seconds)
Size: 257	Gflop/s: 19.2 (64 iter, 0.113 seconds)
Size: 287	Gflop/s: 31 (128 iter, 0.195 seconds)
Size: 288	Gflop/s: 34 (128 iter, 0.180 seconds)
Size: 289	Gflop/s: 37.5 (128 iter, 0.165 seconds)
Size: 319	Gflop/s: 31.4 (64 iter, 0.132 seconds)
Size: 320	Gflop/s: 21.7 (64 iter, 0.193 seconds)
Size: 321	Gflop/s: 36.4 (64 iter, 0.116 seconds)
Size: 351	Gflop/s: 29.9 (64 iter, 0.185 seconds)
Size: 352	Gflop/s: 32.9 (64 iter, 0.170 seconds)
Size: 353	Gflop/s: 34.6 (64 iter, 0.163 seconds)
Size: 383	Gflop/s: 20 (32 iter, 0.179 seconds)
Size: 384	Gflop/s: 16.2 (16 iter, 0.112 seconds)
Size: 385	Gflop/s: 20.9 (32 iter, 0.175 seconds)
Size: 415	Gflop/s: 30.6 (32 iter, 0.150 seconds)
Size: 416	Gflop/s: 29.8 (32 iter, 0.155 seconds)
Size: 417	Gflop/s: 34.4 (32 iter, 0.135 seconds)
Size: 447	Gflop/s: 29.9 (32 iter, 0.191 seconds)
Size: 448	Gflop/s: 18.4 (16 iter, 0.156 seconds)
Size: 449	Gflop/s: 33.1 (32 iter, 0.175 seconds)
Size: 479	Gflop/s: 30.3 (16 iter, 0.116 seconds)
Size: 480	Gflop/s: 30.2 (16 iter, 0.117 seconds)
Size: 481	Gflop/s: 33.9 (16 iter, 0.105 seconds)
Size: 511	Gflop/s: 16.5 (8 iter, 0.129 seconds)
Size: 512	Gflop/s: 15.3 (8 iter, 0.141 seconds)
Size: 513	Gflop/s: 16.4 (8 iter, 0.132 seconds)
Size: 543	Gflop/s: 30.8 (16 iter, 0.167 seconds)
Size: 544	Gflop/s: 33.2 (16 iter, 0.155 seconds)
Size: 545	Gflop/s: 35.4 (16 iter, 0.146 seconds)
Size: 575	Gflop/s: 30.8 (16 iter, 0.197 seconds)
Size: 576	Gflop/s: 19.7 (8 iter, 0.155 seconds)
Size: 577	Gflop/s: 33.6 (16 iter, 0.183 seconds)
Size: 607	Gflop/s: 30.7 (8 iter, 0.117 seconds)
Size: 608	Gflop/s: 28.3 (8 iter, 0.127 seconds)
Size: 609	Gflop/s: 34.1 (8 iter, 0.106 seconds)
Size: 639	Gflop/s: 20.6 (4 iter, 0.101 seconds)
Size: 640	Gflop/s: 16.2 (4 iter, 0.130 seconds)
Size: 641	Gflop/s: 21.5 (8 iter, 0.196 seconds)
Size: 671	Gflop/s: 31.6 (8 iter, 0.153 seconds)
Size: 672	Gflop/s: 30.3 (8 iter, 0.160 seconds)
Size: 673	Gflop/s: 35.2 (8 iter, 0.138 seconds)
Size: 703	Gflop/s: 32.1 (8 iter, 0.173 seconds)
Size: 704	Gflop/s: 24.3 (4 iter, 0.115 seconds)
Size: 705	Gflop/s: 35.5 (8 iter, 0.158 seconds)
Size: 735	Gflop/s: 33.6 (8 iter, 0.189 seconds)
Size: 736	Gflop/s: 31.3 (4 iter, 0.102 seconds)
Size: 737	Gflop/s: 35 (8 iter, 0.183 seconds)
Size: 767	Gflop/s: 17.6 (4 iter, 0.205 seconds)
Size: 768	Gflop/s: 16.2 (2 iter, 0.112 seconds)
Size: 769	Gflop/s: 18.1 (2 iter, 0.100 seconds)
Size: 799	Gflop/s: 33.2 (4 iter, 0.123 seconds)
Size: 800	Gflop/s: 31.5 (4 iter, 0.130 seconds)
Size: 801	Gflop/s: 36.4 (4 iter, 0.113 seconds)
Size: 831	Gflop/s: 33.8 (4 iter, 0.136 seconds)
Size: 832	Gflop/s: 26 (4 iter, 0.178 seconds)
Size: 833	Gflop/s: 34.8 (4 iter, 0.133 seconds)
Size: 863	Gflop/s: 33.9 (4 iter, 0.152 seconds)
Size: 864	Gflop/s: 31.4 (4 iter, 0.164 seconds)
Size: 865	Gflop/s: 35.2 (4 iter, 0.147 seconds)
Size: 895	Gflop/s: 22.2 (2 iter, 0.129 seconds)
Size: 896	Gflop/s: 16.8 (2 iter, 0.171 seconds)
Size: 897	Gflop/s: 22.9 (2 iter, 0.126 seconds)
Size: 927	Gflop/s: 34.5 (4 iter, 0.185 seconds)
Size: 928	Gflop/s: 31.9 (2 iter, 0.100 seconds)
Size: 929	Gflop/s: 35.3 (4 iter, 0.182 seconds)
Size: 959	Gflop/s: 34 (2 iter, 0.104 seconds)
Size: 960	Gflop/s: 24.4 (2 iter, 0.145 seconds)
Size: 961	Gflop/s: 35 (2 iter, 0.101 seconds)
Size: 991	Gflop/s: 33.7 (2 iter, 0.116 seconds)
Size: 992	Gflop/s: 32.1 (2 iter, 0.122 seconds)
Size: 993	Gflop/s: 35.6 (2 iter, 0.110 seconds)
Size: 1023	Gflop/s: 16 (2 iter, 0.268 seconds)
Size: 1024	Gflop/s: 14.8 (2 iter, 0.291 seconds)
Size: 1025	Gflop/s: 16.8 (2 iter, 0.256 seconds)
