Description:	blocked 2 dgemm.

set threads_num =24 in most instances
Size: 31	Gflop/s: 1.34 (4096 iter, 0.182 seconds)
Size: 32	Gflop/s: 1.47 (4096 iter, 0.182 seconds)
Size: 33	Gflop/s: 1.55 (4096 iter, 0.190 seconds)
Size: 63	Gflop/s: 8.54 (2048 iter, 0.120 seconds)
Size: 64	Gflop/s: 9.09 (2048 iter, 0.118 seconds)
Size: 65	Gflop/s: 9.25 (2048 iter, 0.122 seconds)
Size: 95	Gflop/s: 19.1 (2048 iter, 0.184 seconds)
Size: 96	Gflop/s: 19 (2048 iter, 0.190 seconds)
Size: 97	Gflop/s: 19 (2048 iter, 0.197 seconds)
Size: 127	Gflop/s: 34.2 (1024 iter, 0.123 seconds)
Size: 128	Gflop/s: 34.2 (1024 iter, 0.126 seconds)
Size: 129	Gflop/s: 34.1 (1024 iter, 0.129 seconds)
Size: 159	Gflop/s: 53.7 (1024 iter, 0.153 seconds)
Size: 160	Gflop/s: 54.1 (1024 iter, 0.155 seconds)
Size: 161	Gflop/s: 54.3 (1024 iter, 0.158 seconds)
Size: 191	Gflop/s: 75.6 (1024 iter, 0.189 seconds)
Size: 192	Gflop/s: 76.3 (1024 iter, 0.190 seconds)
Size: 193	Gflop/s: 73 (512 iter, 0.101 seconds)
Size: 223	Gflop/s: 99.1 (512 iter, 0.115 seconds)
Size: 224	Gflop/s: 100 (512 iter, 0.115 seconds)
Size: 225	Gflop/s: 99.4 (512 iter, 0.117 seconds)
Size: 255	Gflop/s: 121 (512 iter, 0.140 seconds)
Size: 256	Gflop/s: 123 (512 iter, 0.140 seconds)
Size: 257	Gflop/s: 121 (512 iter, 0.143 seconds)
Size: 287	Gflop/s: 138 (512 iter, 0.176 seconds)
Size: 288	Gflop/s: 139 (512 iter, 0.176 seconds)
Size: 289	Gflop/s: 132 (512 iter, 0.188 seconds)
Size: 319	Gflop/s: 155 (256 iter, 0.107 seconds)
Size: 320	Gflop/s: 157 (256 iter, 0.107 seconds)
Size: 321	Gflop/s: 155 (256 iter, 0.109 seconds)
Size: 351	Gflop/s: 177 (256 iter, 0.125 seconds)
Size: 352	Gflop/s: 178 (256 iter, 0.125 seconds)
Size: 353	Gflop/s: 178 (256 iter, 0.127 seconds)
Size: 383	Gflop/s: 195 (256 iter, 0.148 seconds)
Size: 384	Gflop/s: 197 (256 iter, 0.147 seconds)
Size: 385	Gflop/s: 192 (256 iter, 0.152 seconds)
Size: 415	Gflop/s: 220 (256 iter, 0.166 seconds)
Size: 416	Gflop/s: 222 (256 iter, 0.166 seconds)
Size: 417	Gflop/s: 220 (256 iter, 0.169 seconds)
Size: 447	Gflop/s: 241 (256 iter, 0.190 seconds)
Size: 448	Gflop/s: 242 (256 iter, 0.190 seconds)
Size: 449	Gflop/s: 239 (256 iter, 0.194 seconds)
Size: 479	Gflop/s: 258 (128 iter, 0.109 seconds)
Size: 480	Gflop/s: 260 (128 iter, 0.109 seconds)
Size: 481	Gflop/s: 268 (128 iter, 0.106 seconds)
Size: 511	Gflop/s: 292 (128 iter, 0.117 seconds)
Size: 512	Gflop/s: 294 (128 iter, 0.117 seconds)
Size: 513	Gflop/s: 290 (128 iter, 0.119 seconds)
Size: 543	Gflop/s: 302 (128 iter, 0.135 seconds)
Size: 544	Gflop/s: 304 (128 iter, 0.135 seconds)
Size: 545	Gflop/s: 301 (128 iter, 0.138 seconds)
Size: 575	Gflop/s: 317 (128 iter, 0.153 seconds)
Size: 576	Gflop/s: 319 (128 iter, 0.153 seconds)
Size: 577	Gflop/s: 265 (128 iter, 0.185 seconds)
Size: 607	Gflop/s: 284 (64 iter, 0.101 seconds)
Size: 608	Gflop/s: 271 (64 iter, 0.106 seconds)
Size: 609	Gflop/s: 235 (64 iter, 0.123 seconds)
Size: 639	Gflop/s: 261 (64 iter, 0.128 seconds)
Size: 640	Gflop/s: 262 (64 iter, 0.128 seconds)
Size: 641	Gflop/s: 261 (64 iter, 0.129 seconds)
Size: 671	Gflop/s: 279 (64 iter, 0.139 seconds)
Size: 672	Gflop/s: 279 (64 iter, 0.139 seconds)
Size: 673	Gflop/s: 273 (64 iter, 0.143 seconds)
Size: 703	Gflop/s: 296 (64 iter, 0.150 seconds)
Size: 704	Gflop/s: 297 (64 iter, 0.150 seconds)
Size: 705	Gflop/s: 295 (64 iter, 0.152 seconds)
Size: 735	Gflop/s: 312 (64 iter, 0.163 seconds)
Size: 736	Gflop/s: 314 (64 iter, 0.163 seconds)
Size: 737	Gflop/s: 313 (64 iter, 0.164 seconds)
Size: 767	Gflop/s: 193 (32 iter, 0.150 seconds)
Size: 768	Gflop/s: 202 (32 iter, 0.143 seconds)
Size: 769	Gflop/s: 343 (64 iter, 0.170 seconds)
Size: 799	Gflop/s: 368 (64 iter, 0.177 seconds)
Size: 800	Gflop/s: 370 (64 iter, 0.177 seconds)
Size: 801	Gflop/s: 369 (64 iter, 0.178 seconds)
Size: 831	Gflop/s: 403 (64 iter, 0.182 seconds)
Size: 832	Gflop/s: 401 (64 iter, 0.184 seconds)
Size: 833	Gflop/s: 398 (64 iter, 0.186 seconds)
Size: 863	Gflop/s: 411 (32 iter, 0.100 seconds)
Size: 864	Gflop/s: 412 (64 iter, 0.200 seconds)
Size: 865	Gflop/s: 402 (32 iter, 0.103 seconds)
Size: 895	Gflop/s: 415 (32 iter, 0.111 seconds)
Size: 896	Gflop/s: 416 (32 iter, 0.111 seconds)
Size: 897	Gflop/s: 417 (32 iter, 0.111 seconds)
Size: 927	Gflop/s: 437 (32 iter, 0.117 seconds)
Size: 928	Gflop/s: 438 (32 iter, 0.117 seconds)
Size: 929	Gflop/s: 438 (32 iter, 0.117 seconds)
Size: 959	Gflop/s: 457 (32 iter, 0.123 seconds)
Size: 960	Gflop/s: 461 (32 iter, 0.123 seconds)
Size: 961	Gflop/s: 454 (32 iter, 0.125 seconds)
Size: 991	Gflop/s: 476 (32 iter, 0.131 seconds)
Size: 992	Gflop/s: 477 (32 iter, 0.131 seconds)
Size: 993	Gflop/s: 476 (32 iter, 0.132 seconds)
Size: 1023	Gflop/s: 505 (32 iter, 0.136 seconds)
Size: 1024	Gflop/s: 507 (32 iter, 0.136 seconds)
Size: 1025	Gflop/s: 504 (32 iter, 0.137 seconds)
